2,1,1.1,4
2,1,1.2,4
2,1,2.1,4
2,1,2.4,4
2,1,3.2,W
2,1,4.6,W
2,1,8.1,4
2,1,8.3,4
2,1,9.2,4
2,1,9.5,W
2,1,11.2,W
2,1,14.3,4
2,1,14.4,6
2,1,15.4,4
2,1,15.6,F
2,1,15.6,W
2,1,16.3,4
2,1,17.5,4
2,1,18.1,6
2,1,18.4,4
2,1,18.5,F
2,1,18.5,4
2,1,18.6,6
2,1,19.4,W
2,2,0.6,4
2,2,1.2,4
2,2,1.3,4
2,2,1.5,4
2,2,1.6,4
2,2,2.3,4
2,2,2.6,W
2,2,3.6,4
2,2,4.5,6
2,2,5.5,W
2,2,6.5,4
2,2,7.2,4
2,2,7.4,4
2,2,8.3,4
2,2,9.2,4
2,2,11.1,4
2,2,12.6,W
2,2,14.1,F
2,2,14.1,4
2,2,16.4,4
2,2,16.5,4
2,2,16.6,4
2,2,17.4,4
2,2,17.5,4
1,1,1.3,W
1,1,2.2,4
1,1,2.3,4
1,1,3.1,4
1,1,3.2,4
1,1,4.1,4
1,1,4.6,4
1,1,5.2,W
1,1,5.6,4
1,1,6.3,4
1,1,9.1,4
1,1,9.4,4
1,1,10.2,4
1,1,10.4,6
1,1,10.5,4
1,1,11.5,F
1,1,12.1,W
1,1,13.2,6
1,1,14.1,6
1,1,14.2,6
1,1,14.3,6
1,1,14.5,F
1,1,15.4,4
1,1,16.1,W
1,1,16.4,4
1,1,16.5,W
1,1,17.4,4
1,1,17.5,4
1,1,19.2,4
1,2,0.3,4
1,2,0.6,4
1,2,2.4,W
1,2,2.5,W
1,2,5.1,4
1,2,5.2,4
1,2,5.3,4
1,2,6.1,4
1,2,6.2,4
1,2,7.2,4
1,2,8.1,6
1,2,9.1,4
1,2,9.3,4
1,2,10.3,6
1,2,10.5,4
1,2,10.5,F
1,2,10.6,4
1,2,11.4,4
1,2,11.6,6
1,2,12.6,W
1,2,13.1,W
1,2,14.5,4
1,2,15.3,W
1,2,15.4,W
1,2,16.5,W
1,2,17.6,W
1,2,18.2,4
1,2,19.1,W
1,2,19.2,W
1,2,19.2,H
4,1,4.5,4
4,1,7.3,4
4,1,7.4,4
4,1,7.5,4
4,1,11.1,4
4,1,11.3,4
4,1,12.1,4
4,1,14.3,4
4,1,15.1,4
4,1,16.1,6
4,1,17.4,F
4,1,19.3,4
4,1,19.4,4
4,1,20.1,4
4,1,20.1,F
4,1,22.3,W
4,1,25.3,4
4,1,25.6,4
4,1,26.4,4
4,1,28.3,4
4,1,29.3,4
4,1,32.1,4
4,1,32.4,C
4,1,33.2,4
4,1,33.4,4
4,1,35.4,4
4,1,36.2,4
4,1,36.6,W
4,1,39.3,4
4,1,40.3,F
4,1,40.4,6
4,1,41.1,4
4,1,41.6,4
4,1,42.5,4
4,1,43.1,6
4,1,43.2,4
4,1,44.4,6
4,1,45.3,4
4,1,45.5,W
4,1,46.1,6
4,1,46.3,4
4,1,47.4,4
4,1,48.1,6
4,1,48.2,4
4,1,49.1,W
4,1,49.2,6
4,1,49.5,W
4,1,49.6,4
4,2,1.3,4
4,2,3.4,4
4,2,9.1,4
4,2,9.4,6
4,2,9.5,4
4,2,9.6,4
4,2,13.1,W
4,2,15.1,4
4,2,18.1,4
4,2,20.1,4
4,2,21.1,F
4,2,22.2,6
4,2,22.6,4
4,2,24.4,W
4,2,31.6,4
4,2,32.4,4
4,2,33.6,4
4,2,33.6,F
4,2,34.3,4
4,2,35.2,6
4,2,36.4,W
4,2,36.5,4
4,2,37.1,4
4,2,37.2,4
4,2,37.6,4
4,2,38.1,4
4,2,38.4,4
4,2,38.5,4
4,2,39.4,W
4,2,39.6,W
4,2,40.3,4
4,2,40.4,W
4,2,42.2,4
4,2,42.4,6
4,2,43.5,4
4,2,44.2,4
4,2,44.5,W
4,2,45.4,4
4,2,46.2,4
4,2,46.6,W
4,2,47.1,4
4,2,47.2,F
4,2,49.1,W
4,2,49.6,W
3,1,3.3,W
3,1,7.6,4
3,1,8.2,4
3,1,10.4,4
3,1,11.4,4
3,1,13.6,4
3,1,18.2,W
3,1,27.3,4
3,1,27.6,4
3,1,29.3,F
3,1,29.5,4
3,1,30.1,4
3,1,34.4,4
3,1,35.2,W
3,1,40.5,4
3,1,40.6,W
3,1,42.5,4
3,1,43.1,6
3,1,43.1,F
3,1,43.3,4
3,1,43.6,4
3,1,44.4,W
3,1,47.6,W
3,1,48.1,W
3,1,48.4,4
3,1,48.6,W
3,2,1.3,W
3,2,2.4,W
3,2,3.1,W
3,2,5.5,4
3,2,8.5,4
3,2,9.2,4
3,2,9.6,W
3,2,10.6,4
3,2,11.2,4
3,2,13.4,4
3,2,19.6,4
3,2,22.5,W
3,2,30.3,W
3,2,32.3,6
3,2,33.3,4
3,2,37.2,4
3,2,38.4,6
3,2,39.1,4
3,2,40.5,6
3,2,41.4,4
3,2,41.5,F
3,2,44.4,6
3,2,45.4,4
3,2,47.5,W
3,2,48.1,6
3,2,48.3,F
3,2,48.3,W
3,2,48.6,W
3,2,49.1,4
3,2,49.3,W
8,1,2.5,W
8,1,3.3,4
8,1,4.3,6
8,1,4.5,6
8,1,4.6,6
8,1,5.6,W
8,1,6.2,4
8,1,8.1,4
8,1,9.5,6
8,1,10.1,W
8,1,12.2,4
8,1,13.1,W
8,1,14.3,4
8,1,15.6,6
8,1,16.4,4
8,1,16.6,6
8,1,17.4,4
8,1,18.4,6
8,1,19.3,W
8,2,2.1,4
8,2,2.3,6
8,2,2.5,4
8,2,2.6,4
8,2,3.1,4
8,2,4.4,4
8,2,5.1,4
8,2,5.4,W
8,2,5.5,4
8,2,6.2,4
8,2,8.3,4
8,2,8.6,4
8,2,9.5,W
8,2,11.4,4
8,2,11.5,4
8,2,12.2,6
8,2,12.5,4
8,2,13.2,4
8,2,13.2,F
8,2,13.4,4
8,2,14.1,4
8,2,14.3,6
8,2,15.2,W
8,2,16.3,4
8,2,17.1,4
8,2,17.4,4
8,2,18.2,4
8,2,18.3,6
9,1,0.4,4
9,1,0.5,4
9,1,1.2,4
9,1,1.6,4
9,1,2.4,4
9,1,3.3,4
9,1,3.5,6
9,1,3.6,4
9,1,4.3,4
9,1,4.6,W
9,1,7.6,4
9,1,8.4,4
9,1,9.1,4
9,1,10.1,4
9,1,10.2,6
9,1,10.3,4
9,1,11.3,W
9,1,13.1,W
9,1,13.3,W
9,1,13.4,W
9,1,15.2,4
9,1,15.4,W
9,1,16.1,6
9,1,16.4,4
9,1,16.5,4
9,1,17.4,W
9,1,17.5,6
9,1,18.3,W
9,2,0.1,4
9,2,0.5,W
9,2,1.2,6
9,2,2.5,4
9,2,3.5,4
9,2,3.6,4
9,2,4.2,4
9,2,4.6,4
9,2,5.4,4
9,2,6.6,4
9,2,7.1,4
9,2,7.2,6
9,2,8.1,6
9,2,8.6,4
