5007,6,,,,,,,,
5021,6,,,,,3,20,0,0
5020,6,,,,,9,46,0,0
5019,6,,,,,9,50,0,0
5011,6,,,,,9,46,0,2
5008,6,,,,,10,41,0,2
5009,6,,,,,10,39,1,2
5002,7,77,92,6,1,,,,
5001,7,104,92,7,5,,,,
5018,7,26,27,3,0,,,,
5013,7,48,41,6,1,,,,
5004,7,0,2,0,0,10,60,0,3
5003,7,35,33,4,0,,,,
5007,7,8,9,1,0,,,,
5020,7,2,3,0,0,9,51,0,1
5022,7,1,2,0,0,9,68,0,1
5009,7,0,0,0,0,10,55,1,4
5011,7,,,,,10,50,0,1
3003,7,22,31,3,0,,,,
3010,7,33,38,4,0,6,33,0,1
3002,7,66,74,6,0,10,41,0,1
3005,7,24,23,3,0,,,,
3004,7,22,24,0,1,,,,
3013,7,3,7,0,0,4,32,0,0
3008,7,36,36,5,0,,,,
3012,7,51,38,9,0,7,59,0,0
3001,7,8,5,0,1,5,36,0,0
3011,7,9,11,1,0,8,48,0,1
3014,7,0,1,0,0,10,59,1,5
