5001,1,2,6,0,0,,,,
5012,1,19,16,4,0,,,,
5002,1,52,35,7,0,,,,
5005,1,62,33,3,5,,,,
5013,1,6,9,0,0,,,,
5006,1,22,13,3,0,,,,
5014,1,9,8,0,0,4,30,0,3
5015,1,,,,,4,27,0,0
5016,1,,,,,4,34,0,0
5017,1,,,,,3.2,7,0,6
5011,1,,,,,4,43,0,1
3004,1,9,8,2,0,,,,
3016,1,81,48,10,2,,,,
3010,1,0,1,0,0,4,29,0,2
3005,1,0,1,0,0,,,,
3006,1,8,10,0,0,,,,
3017,1,0,1,0,0,1,20,0,0
3007,1,27,29,2,1,,,,
3018,1,9,9,1,0,3,29,0,0
3019,1,4,6,0,0,4,32,1,2
3014,1,1,3,0,0,4,42,0,0
3020,1,0,0,0,0,4,22,0,1
2014,2,20,11,4,0,,,,
2001,2,17,14,3,0,,,,
2011,2,80,51,11,1,,,,
2017,2,21,22,1,0,,,,
2018,2,8,15,0,0,,,,
2002,2,,,,,,,,
2019,2,,,,,4,23,0,2
2003,2,,,,,4,19,0,1
2012,2,,,,,4,25,0,0
2010,2,,,,,4,51,0,1
2015,2,,,,,4,31,0,0
8001,2,2,7,0,0,,,,
8002,2,50,38,6,0,,,,
8003,2,6,9,0,0,,,,
8004,2,14,16,1,0,,,,
8005,2,4,5,0,0,,,,
8006,2,,,,,,,,
8007,2,11,11,1,0,4,34,0,1
8008,2,0,0,0,0,3,33,0,0
8009,2,,,,,4,25,0,0
8010,2,,,,,3.3,32,0,1
8011,2,,,,,4,27,0,1
7008,3,1,14,0,0,,,,
7012,3,28,51,2,0,,,,
7001,3,67,95,6,0,,,,
7015,3,74,90,3,1,,,,
7011,3,12,18,1,0,7.3,49,0,1
7006,3,16,10,2,0,2,13,0,0
7002,3,10,11,0,0,,,,
7013,3,9,6,1,0,10,34,2,2
7009,3,1,2,0,0,10,37,1,3
7005,3,3,2,0,0,10,42,2,2
7007,3,,,,,10,43,0,1
5002,3,1,7,0,0,,,,
5001,3,1,4,0,0,,,,
5018,3,1,6,0,0,,,,
5013,3,32,56,4,0,,,,
5007,3,6,25,1,0,,,,
5004,3,32,62,2,0,10,55,0,1
5003,3,50,72,1,1,,,,
5019,3,77,59,4,4,10,34,0,1
5020,3,0,1,0,0,10,43,1,3
5011,3,5,5,1,0,10,63,0,1
5009,3,0,0,0,0,10,39,1,1
5001,4,57,70,3,1,,,,
5012,4,117,109,16,0,,,,
5018,4,82,77,4,2,,,,
5004,4,48,27,4,3,10,68,0,0
5003,4,27,14,3,1,,,,
5002,4,11,3,1,1,,,,
5021,4,0,0,0,0,1,14,0,0
5020,4,,,,,10,50,0,3
5008,4,,,,,9,55,0,0
5011,4,,,,,10,62,0,2
5009,4,,,,,10,61,1,3
2014,4,56,84,5,0,,,,
2001,4,36,35,3,1,,,,
2011,4,69,70,5,1,,,,
2006,4,42,39,4,1,,,,
2009,4,28,14,5,0,7,45,0,0
2013,4,0,2,0,0,7,62,0,2
2002,4,55,35,5,1,,,,
2020,4,4,9,0,0,10,63,1,1
2003,4,8,7,1,0,10,55,0,1
2012,4,3,3,0,0,10,74,0,1
