1,Ravi Shashtri,India,Head,5
2,B Arun,India,Bowling,5
3,Ramkrishnan Sridhar,India,Fielding,5
4,Sanjay Bangar,India,Assistant,5
5,Justin Langer,Australia,Head,2
6,Mickey Arthur,Pakistan,Head,8
7,Trevor Bayliss,England,Head,4
8,Grant Bradburn,Pakistan,Fielding,8
9,Lalchand Rajput,Zimbabwe,Head,12
10,Russell Domingo,Bangladesh,Head,3
11,Chandika H.,Sri Lanka,Head,10
12,Floyd Reifer,West Indies,Head,11
13,Gary Stead,New Zealand,Head,7
